epsilon_in(e),epsilon_out(E),nanoparticle_charge(V),counterion_valency(v),total_gridpoints(g),cpmd_fake_mass(M),fake_temperature(k),R,R_v,FD,Good(1)/Bad(0),Time
2,30,-60,2,752,50,0.005,0.0133625,0.696351,-0.102229,0,59m14.972s
2,30,-100,3,1692,18,0.005,0.0383077,1.5174,-0.102267,0,262m47.163s
2,30,-100,3,752,100,0.015,0.0502838,1.24715,-0.102332,0,57m44.232s
160,78.5,-20,2,132,100,0.001,0.000562507,0.0758854,-0.102353,1,9m24.442s
2,30,-20,3,132,3,0.0025,0.00347102,0.175659,-0.102456,0,39m39.473s
2,30,-60,3,752,30,0.005,0.0194332,0.910945,-0.103366,0,57m19.429s
2,78.5,-60,2,752,30,0.001,0.00489579,0.263575,-0.103391,0,62m52.982s
160,30,-60,3,1692,100,0.0025,0.240691,11.7695,-0.103413,0,266m31.085s
160,30,-60,2,752,18,0.005,0.115746,2.242,-0.103519,0,58m19.590s
2,78.5,-100,3,132,6,0.025,0.0153488,0.141232,-0.103615,1,10m22.343s
2,30,-100,1,1692,100,0.005,0.0162912,1.50753,-0.104117,0,301m27.434s
160,30,-100,1,1692,100,0.005,0.0527046,1.37699,-0.104508,0,302m4.279s
160,30,-20,2,132,3,0.0025,0.735583,37.8886,-0.104527,0,9m18.702s
160,78.5,-100,3,752,100,0.005,0.0196672,0.290351,-0.104768,0,58m3.068s
2,30,-100,3,752,36,0.015,0.0733015,1.54511,-0.104792,0,58m13.636s
2,30,-100,2,1692,18,0.005,0.0259153,1.60399,-0.105061,0,271m40.523s
2,30,-60,3,132,6,0.025,0.0273581,0.571474,-0.105144,0,10m45.826s
160,30,-20,1,132,18,0.0025,0.00694009,0.42853,-0.105334,0,10m6.050s
2,30,-60,1,752,1,0.0025,0.00812391,0.298209,-0.105717,0,65m53.330s
2,150,-60,3,132,100,0.005,0.00298462,0.12464,-0.105824,1,9m44.702s
160,78.5,-100,2,1692,36,0.001,0.0306245,0.900571,-0.106188,0,270m26.057s
160,78.5,-100,2,132,50,0.025,0.014721,0.561725,-0.106252,0,11m22.864s
160,78.5,-100,1,132,6,0.015,0.00740095,0.380473,-0.106812,0,15m18.846s
2,30,-100,1,132,1,0.05,0.0202733,0.182004,-0.107714,0,14m55.150s
2,30,-60,1,132,18,0.025,0.0106065,0.533058,-0.107768,0,13m50.231s
2,78.5,-100,1,132,1,0.015,0.011748,0.332216,-0.108085,0,14m53.046s
2,30,-20,1,132,50,0.0025,0.0036985,0.453777,-0.108288,0,45m28.224s
160,78.5,-60,2,752,36,0.001,0.0124842,0.691445,-0.108299,0,57m41.381s
160,30,-100,2,752,36,0.015,0.158271,2.62166,-0.10951,0,63m55.915s
2,30,-60,2,752,30,0.005,0.0156072,0.804846,-0.109592,0,59m21.295s
160,78.5,-100,2,132,30,0.025,0.00796916,0.121755,-0.109789,1,11m31.629s
160,78.5,-100,2,132,36,0.025,0.00752943,0.153405,-0.109928,0,11m34.313s
2,30,-20,2,132,6,0.0025,0.00153961,0.105561,-0.11026,1,46m22.568s
2,30,-20,2,132,3,0.0025,0.00209329,0.135219,-0.110867,1,46m5.274s
2,78.5,-60,1,752,36,0.001,0.00298806,0.123101,-0.111101,1,63m50.145s
2,78.5,-60,1,752,18,0.001,0.00272711,0.116575,-0.111176,1,64m38.473s
2,78.5,-100,2,132,18,0.025,0.0123792,0.371376,-0.111291,0,12m5.473s
160,30,-60,1,132,30,0.015,13.2057,534.041,-0.111688,0,17m46.796s
2,150,-60,1,132,36,0.0025,0.000778683,0.16671,-0.112222,0,12m51.413s
2,30,-100,3,752,30,0.015,0.0573051,1.25193,-0.112354,0,57m45.051s
2,30,-60,2,752,36,0.005,0.0168498,0.983273,-0.112719,0,58m55.321s
160,30,-100,1,752,100,0.015,0.06242,2.19527,-0.112866,0,79m34.409s
2,30,-100,1,1692,50,0.005,0.00921835,0.938602,-0.113352,0,301m12.680s
2,30,-60,3,132,3,0.025,0.0146511,0.36814,-0.113517,0,10m36.279s
160,78.5,-100,1,1692,36,0.001,0.0232789,0.523878,-0.113577,0,300m58.478s
160,150,-60,1,132,100,0.0025,0.00094971,0.0904923,-0.113783,1,46m8.155s
2,30,-20,3,132,6,0.0025,0.00422664,0.159962,-0.114148,0,39m54.480s
2,30,-100,2,1692,6,0.005,0.0378148,0.427013,-0.114384,0,270m55.077s
2,30,-20,3,132,1,0.0025,0.00440363,0.134828,-0.114394,1,44m38.839s
2,150,-60,3,132,50,0.005,0.00295588,0.117579,-0.114806,1,9m44.816s
2,30,-100,2,752,36,0.015,0.0386422,1.22355,-0.114879,0,61m14.025s
160,150,-60,2,132,36,0.0025,0.00298077,0.18534,-0.114929,0,41m13.323s
2,150,-60,1,132,100,0.0025,0.00088431,0.0927502,-0.114959,1,12m31.674s
2,30,-60,3,752,3,0.005,0.0360686,0.205177,-0.115299,0,57m3.081s
